id,edges,name,type,clusteringCoefficient,betweennessCentrality,distanceToFurthestNode,degree
p0005068,"{m0790741, m3367, m2193191, 6596, m1815708, 195, 1341, m4177822, m2724532, m0460902, m0458449, m2733252, m045494, m13990, m0443473, m1416801, m0928375, m249780, 7675,  m227594, m3781, 0651, 1738, m3503840, 7244, 59382, m1302019, m0473364, m2417096, m035615, m2404435, m3305096, m3036676, m1594917, 3, m3081268, m0120735, m0787515, m2932532, 0617, m3550902, m6038042, m464, 8965, m0805570, m1277953, m1319743, m36855, m3213, 6994, m078496, m0416243, m21930, m1993396, 5550, 455499, m0934814, m0208092,  m0922642, m2823574, m041107,  6245, 5852, 0426501, m2081274, m036139, 7378, 14, 5778, m1206881, m2072268, m2483208, 5426, m340133, m0315824, m0187078, m3592904, m1597033, 543, m0377070, m038160, m225255, m0445114, m2510268}","Jones, Vinnie",actor,0.879797979798,0.000875597466507,4.0,100.0
p7398241,{},"Doucet, John",actor,0.879797979798,0.000875597466507,4.0,100.0
p1456412,"{, 1154, 980, m04121, 163020, m2404435, m1458427, 36, 6536}","Jr., Thomas Blake",director/actor,0.879797979798,0.000875597466507,4.0,100.0
p1157205,"{m2, m6267276, 49, m3778774, 47, m373490, 05812, 4673, m2404435, m5666046, 1196, m0329245, 0, 3, m624679, 6308, 7,  66, m0317135, m2366127, 6686,  m5040202, m0772137, 089, m4998626,  m1142800, 2624, m5173164, m0460611, m5875676, m5843976, 463, m3539960, m5935392, 71, m0105690, 8241, 029, m2582324, m0779255, 54}","Wayne, Kevin",director/actor,0.863366336634,0.00244937091528,4.0,101.0
p6931048,{},"Ourso, James",actor,0.0,0.0,1.0,0.0
p7779930,{},"LaGroue, Emily",error,0.0,0.0,1.0,0.0
p0599907,"{0138, m0081930, 3138,  3991,  m0170821, m5300840, m2350892, m1124037, m0453467, 55, 10875, m0450405, m1764647, m0290745, m0426480, 413, m0938706, m2356777, m0095239, m01079, m0445974, m01661, m1276104, 82, m0156976, m0091544, 87, m0884328, 219588, 0521, m0081843, m1327194, 05, m0910905, m2059171, 4414, m4033204, m4947608, m0179473, m0232957, 7, 1251, 425, m1146438, m304022, m0427309, 6584, m0469965, m1853728, m146205, m2761578, 7378, m1111948, 34, m2312718, m0087967, m0130416, m1833296, m0195284, m1572315, 9553, 0197, m0385726, m0446676, m007917, 5034, m1981128, m4695800, 64, 67, m0457308, m0106451, m1810697, m1409008, .., m026446, 6765, m2404435, m1836944, 2, m1279972, 502, m0787498, m0496343, m1535608, 0961, m1743375, m0303311, m4163960, m2980696, m0081873, m1781062, m03}","Montgomery, Ritchie",actor,0.800915750916,0.0153859840194,4.0,105.0
p7274785,{},"Mooney, Zach",actor,0.0,0.0,1.0,0.0
p0000243,"{761, 24, 07, 04, m1111422, m0765429, 44, 7309, m032810, m2404435, m0133952,  7818, 344, 2740, 3, 4848, m0115956, m0107798, m0145681, m0079161, m0076923, m0104797, 814, m3766354, 90766, m0117372, m01748, m0100168, m0102789, m0083483, m2671706, m025116,  m011285, m0477080, 2878, m0097880, 77, m0124718, 73, m0091106, 8, m01598, 90, 485, m159934, m0368008}","Washington, Denzel",director/actor,0.814787154593,0.0174206219297,4.0,104.0
p0298807,{},"Fuqua, Antoine",director/actor,0.0,0.0,1.0,0.0
p5236560,{},"Stewart, Mary Peyton",error,0.879797979798,0.000875597466507,4.0,100.0
p7362234,{},"Johnson, Robert D",actor,0.0,0.0,1.0,0.0
p2247245,{},"Bennett, Haley",error,0.0,0.0,1.0,0.0
p5330533,"{m240602, 54, m138, m270779, 76, 5}","Coffman, John C.",actor,0.863168316832,0.00271444890472,4.0,101.0
p0000352,"{m0114558, m0098330, 3808, 52105, m0160399, 980,  m119694, m0088513, m20857, m187219, m0092513, m2404435, m192543, m049340, m0273453, m0106379, 643, 23573, m0085547, m03375, m35790, m0226935, m0192671, m0140594, m0113335, m09762, 161216, m1741243, m0105306, m0107613, m1922777, m1856057, 181, 0874, m3322312, m5724316, 9788, m022843, 7385, m049838, m353023, m009476, m0306274, m0116289, m0318761, m0995868, m0272274, 503954, m01002, m3554506, m0120878, m023892, m198947, m0093058, m0116465, m012076, m0101787, m0105151, m0106028, m0118762, m015014, 58, 14, m192546, m0095690, m1008010, m0442681,  m0101629, m44116, m1042877, 8890, m1137450, 118174, 9571, m0479912, m1416801, 0188, m011965, m1651065, 0764, m0110115, m0119812, m0086759, m0107152}","D'Onofrio, Vincent",director/actor,0.879797979798,0.000875597466507,4.0,100.0
p7245921,{},"Hopkins, Samantha",error,0.879797979798,0.000875597466507,4.0,100.0
p1040127,{},"Gliddon, Jamie",actor,0.0,0.0,1.0,0.0
p6591687,{},"Kent, Kevin",actor,0.879797979798,0.000875597466507,4.0,100.0
p1546201,{},"Boyd, Sean",actor,0.879797979798,0.000875597466507,4.0,100.0
p4526368,"{m326951, 788,  m3647498, m1438, 52,  m247947, m17673, m2558996,  m589041,  208, 650, 178636, 1464, 5, m265725, 90}","Larance, Rodger",actor,0.666666666667,5.93542260209e-05,4.0,4.0
m0314353,{},Tears of the Sun,movie,,,,
m1733258,{},Pillow,movie,,,,
m1126591,{},Burlesque,movie,,,,
m1229367,{},Living Proof,movie,,,,
m0114558,{},Strange Days,movie,,,,
m1045778,{},Year One,movie,,,,
m6202866,{},FrIEND,movie,,,,
m2301058,{},Crackers,movie,,,,
m1045772,{},I Love You Phillip Morris,movie,,,,
m5443994,{},Santa Fe Mysteries: Sacred Ground,movie,,,,
m1810697,{},Meeting Evil,movie,,,,
m2503954,{},Broken Horses,movie,,,,
m0080197,{},Beulah Land,movie,,,,
m5761496,{},Get Shorty,movie,,,,
m0448965,{},Mysterious Island,movie,,,,
m1659343,{},Universal Soldier: Day of Reckoning,movie,,,,
m3249612,{},"Sex, Marriage and Infidelity",movie,,,,
m4299372,{},Allhelluja: Superhero Motherf*cker Superman,movie,,,,
m0131079,{},Two Idiots in Hollywood,movie,,,,
m1922777,{},Sinister,movie,,,,
m2190690,{},My Heart Dies with You: Hearts Race,movie,,,,
m1178636,{},Crash,movie,,,,
m0195284,{},Solar Eclipse,movie,,,,
m5666046,{},Super Science Showcase,movie,,,,
m1663187,{},The Chaperone,movie,,,,
m0800268,{},Wieners,movie,,,,
m2217895,{},One Square Mile,movie,,,,
m2909476,{},A Certain Justice,movie,,,,
m0112857,{},Devil in a Blue Dress,movie,,,,
m0460676,{},Sons & Daughters,movie,,,,
m0170821,{},Yakima Wash,movie,,,,
m1811307,{},Burning Blue,movie,,,,
m5600568,{},Fortuity,movie,,,,
m4480936,{},Indecent Justice,movie,,,,
m5460880,{},Ideal Home,movie,,,,
m0127722,{},Another Day in Paradise,movie,,,,
m0088408,{},With Intent to Kill,movie,,,,
m1144884,{},The Final Destination,movie,,,,
m2241750,{},Drown,movie,,,,
m0420294,{},The Texas Chainsaw Massacre: The Beginning,movie,,,,
m0102138,{},JFK,movie,,,,
m1019413,{},Para-Normal,movie,,,,
m1608290,{},Zoolander 2,movie,,,,
m0775440,{},Cell,movie,,,,
m1745959,{},The Bloody Indulgent,movie,,,,
m3852066,{},Manny Lewis,movie,,,,
m6246790,{},Oak Mountain Murders,movie,,,,
m3614530,{},Jem and the Holograms,movie,,,,
m0118174,{},The Winner,movie,,,,
m1374850,{},Coldplay: Lost?,movie,,,,
m0409572,{},Into the West,movie,,,,
m2191671,{},Elementary,movie,,,,
m1582454,{},Love Bites,movie,,,,
m1662979,{},My Generation,movie,,,,
m1065073,{},Boyhood,movie,,,,
m0760306,{},Basilisk: The Serpent King,movie,,,,
m0437745,{},Robot Chicken,movie,,,,
m1823247,{},The Promotion,movie,,,,
m1582459,{},The Event,movie,,,,
m0113524,{},Kansas,movie,,,,
m1175491,{},W.,movie,,,,
m0112818,{},Dead Man Walking,movie,,,,
m0862846,{},Sunshine Cleaning,movie,,,,
m0986272,{},Validation,movie,,,,
m0974554,{},Elegy,movie,,,,
m4074374,{},Game of Silence,movie,,,,
m0109483,{},The Corpse Had a Familiar Face,movie,,,,
m0787469,{},Game Day,movie,,,,
m1136683,{},100 Million BC,movie,,,,
m0044265,{},The Guiding Light,movie,,,,
m1523399,{},Mind of Its Own,movie,,,,
m1231578,{},Night and Day,movie,,,,
m1252367,{},Easy Money,movie,,,,
m1981677,{},Pitch Perfect,movie,,,,
m1489428,{},Justified,movie,,,,
m1528854,{},Daddy's Home,movie,,,,
m1502712,{},Fantastic Four,movie,,,,
m0321021,{},Without a Trace,movie,,,,
m0286493,{},The Badge,movie,,,,
m1214962,{},Seeking Justice,movie,,,,
m2761578,{},Wicked Blood,movie,,,,
m0431428,{},Take Me Somewhere Nice,movie,,,,
m2513074,{},Billy Lynn's Long Halftime Walk,movie,,,,
m5186146,{},Locus,movie,,,,
m4033204,{},Born Again Dead,movie,,,,
m0928375,{},Legend of the Bog,movie,,,,
m0785077,{},Who's Your Caddy?,movie,,,,
m0329245,{},Johnny Flynton,movie,,,,
m0084052,{},"Harry Tracy, Desperado",movie,,,,
m2392439,{},The Last Long Lost Weekend,movie,,,,
m0120240,{},SUBWAYStories: Tales from the Underground,movie,,,,
m0087921,{},Places in the Heart,movie,,,,
m0418020,{},The Novice,movie,,,,
m4651666,{},Camera Store,movie,,,,
m0923703,{},Geuhae yeoreum,movie,,,,
m0117372,{},The Preacher's Wife,movie,,,,
m1907668,{},Flight,movie,,,,
m1146438,{},The Librarian: The Curse of the Judas Chalice,movie,,,,
m1330018,{},The Devil and the Deep Blue Sea,movie,,,,
m0295249,{},The Extreme Team,movie,,,,
m0893367,{},Robodoc,movie,,,,
m3952746,{},Just Add Magic,movie,,,,
m0349683,{},King Arthur,movie,,,,
m0083486,{},T.J. Hooker,movie,,,,
m1833590,{},Things We Do for Love,movie,,,,
m0446016,{},Pizza My Heart,movie,,,,
m0079173,{},Freedom Road,movie,,,,
